product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
comp_5,computers_accessories,01-02-2017,2,960.571445127933,26.34,480.29,35,214,2,2498.16,3.0,198,8,10,0,2,2017,6.092,3178,491.43,5.0,28.09,605.1,4.2,22.98,391.72,3.3,25.3,481.47
comp_1,computers_accessories,01-07-2017,3,649.4749682376503,26.72,216.49,25,211,2,2727.78,3.1,139,24,2,0,7,2017,7.5645,4149,218.91,4.4,24.96,262.81,4.1,31.52,179.52,4.4,28.37,212.26
bed_4,bed_bath_table,01-12-2018,21,1348.4446778377649,8.47,64.21,48,401,3,417.21,3.6,11,10,8,1,12,2018,15.3439,3696,63.44,4.3,8.55,73.77,4.2,10.06,51.31,4.2,9.21,66.75
hb_6,health_beauty,01-03-2017,3,112.9686811520805,6.28,37.66,26,147,4,199.47,4.1,34,16,7,0,3,2017,7.2773,4236,34.56,3.7,6.66,46.66,4.1,7.5,30.38,4.2,5.9,35.79
hb_9,health_beauty,01-01-2018,3,93.61716094628554,6.35,31.21,27,293,1,253.87,3.6,151,14,7,0,1,2018,7.5093,4182,32.63,4.0,6.64,42.26,4.6,7.33,25.31,3.7,5.87,31.87
bed_1,bed_bath_table,01-12-2017,13,754.8301784201726,16.57,58.06,34,495,3,1212.94,3.5,30,12,3,1,12,2017,19.2754,3778,61.21,4.1,17.42,75.34,4.2,13.77,46.72,3.4,15.45,60.56
hb_3,health_beauty,01-08-2018,4,116.00845078125081,6.55,29.0,43,281,2,252.03,3.9,181,13,3,0,8,2018,11.2479,4247,31.16,4.7,7.02,39.46,4.0,6.58,24.01,3.6,6.18,27.9
comp_3,computers_accessories,01-03-2017,4,1908.6555262600307,20.1,477.16,49,294,3,2350.46,3.1,173,22,5,0,3,2017,7.5454,4402,468.73,4.4,20.11,597.35,4.1,18.32,415.28,4.4,19.05,460.22
hb_1,health_beauty,01-01-2017,5,197.84756811659008,6.58,39.57,40,305,3,172.36,3.6,26,11,7,0,1,2017,6.6635,3435,37.53,3.8,5.98,52.8,4.6,7.05,36.18,3.0,6.6,38.49
comp_8,computers_accessories,01-08-2018,1,169.74657160199658,39.46,169.75,29,235,2,3580.69,4.8,73,22,10,0,8,2018,5.9626,3538,172.99,3.9,40.72,210.26,4.8,40.33,151.7,3.8,37.42,162.84
comp_10,computers_accessories,01-10-2018,4,1840.6688914613287,31.65,460.17,45,285,2,4588.86,4.8,45,21,9,0,10,2018,10.0817,3186,466.29,4.4,28.55,567.8,4.1,33.72,384.2,3.0,29.51,462.41
bed_3,bed_bath_table,01-02-2017,5,312.99031487565014,12.73,62.6,47,405,1,1130.27,3.5,108,17,9,0,2,2017,7.2778,4083,59.15,3.9,13.93,86.69,4.4,14.73,46.79,3.9,13.48,62.61
hb_2,health_beauty,01-09-2017,5,123.87765407282959,5.99,24.78,54,484,3,194.23,4.9,174,15,3,0,9,2017,5.1702,3601,23.27,4.1,6.54,33.31,5.0,6.83,20.86,3.4,5.85,25.65
hb_1,health_beauty,01-03-2018,3,45.254347201748324,5.98,15.08,36,356,2,129.23,4.8,139,8,6,0,3,2018,8.9904,4723,15.26,4.6,6.22,20.93,4.7,5.64,13.64,3.4,6.35,15.55
comp_3,computers_accessories,01-09-2017,5,2326.4811051129427,40.26,465.3,43,490,2,4468.29,3.1,148,21,2,0,9,2017,9.5497,4226,465.82,4.2,40.6,581.69,4.3,41.72,409.38,3.0,36.54,480.31
hb_2,health_beauty,01-08-2017,1,13.811815379556544,6.07,13.81,43,257,2,140.05,4.1,24,12,3,0,8,2017,9.3602,3175,13.87,4.5,6.35,18.7,5.0,6.11,11.5,3.5,6.43,13.5
comp_9,computers_accessories,01-08-2017,2,262.7651050738128,22.23,131.38,28,165,4,2755.89,4.1,150,10,6,0,8,2017,9.8718,4080,125.15,4.6,22.94,170.31,4.3,26.27,116.09,4.1,22.47,132.85
